,Element,Episode,Title,Included,Type_of_element,Category_of_element,HasLocation
0,Apple Frame,S01E01,A WALK IN THE WOODS,0,Frame,Execution,0
1,Aurora Borealis,S01E01,A WALK IN THE WOODS,0,Sky,Landscape,1
2,Barn,S01E01,A WALK IN THE WOODS,0,Human_built,Human,1
3,Beach,S01E01,A WALK IN THE WOODS,0,Water,Landscape,1
4,Boat,S01E01,A WALK IN THE WOODS,0,Human_presence,Human,1
5,Bridge,S01E01,A WALK IN THE WOODS,0,Human_built,Human,1
6,Building,S01E01,A WALK IN THE WOODS,0,Human_built,Human,1
7,Bushes,S01E01,A WALK IN THE WOODS,1,Vegetation,Landscape,1
8,Cabin,S01E01,A WALK IN THE WOODS,0,Human_built,Human,1
9,Cactus,S01E01,A WALK IN THE WOODS,0,Vegetation,Landscape,1
10,Circle Frame,S01E01,A WALK IN THE WOODS,0,Frame,Execution,0
11,Cirrus,S01E01,A WALK IN THE WOODS,0,Sky,Landscape,0
12,Cliff,S01E01,A WALK IN THE WOODS,0,Topography,Landscape,1
13,Clouds,S01E01,A WALK IN THE WOODS,0,Sky,Landscape,0
14,Conifer,S01E01,A WALK IN THE WOODS,0,Vegetation,Landscape,1
15,Cumulus,S01E01,A WALK IN THE WOODS,0,Sky,Landscape,0
16,Deciduous,S01E01,A WALK IN THE WOODS,1,Vegetation,Landscape,1
17,Diane Andre,S01E01,A WALK IN THE WOODS,0,Painted_by_a_guest,Execution,0
18,Dock,S01E01,A WALK IN THE WOODS,0,Human_built,Human,1
19,Double Oval Frame,S01E01,A WALK IN THE WOODS,0,Frame,Execution,0
20,Farm,S01E01,A WALK IN THE WOODS,0,Human_built,Human,1
21,Fence,S01E01,A WALK IN THE WOODS,0,Human_built,Human,1
22,Fire,S01E01,A WALK IN THE WOODS,0,Human_presence,Human,0
23,Florida Frame,S01E01,A WALK IN THE WOODS,0,Frame,Execution,0
24,Flowers,S01E01,A WALK IN THE WOODS,0,Vegetation,Landscape,1
25,FOG,S01E01,A WALK IN THE WOODS,0,Season_and_weather,Time_and_atmosphere,1
26,Framed,S01E01,A WALK IN THE WOODS,0,Frame,Execution,0
27,Grass,S01E01,A WALK IN THE WOODS,1,Vegetation,Landscape,1
28,Guest,S01E01,A WALK IN THE WOODS,0,Painted_by_a_guest,Execution,0
29,Half Circle Frame,S01E01,A WALK IN THE WOODS,0,Frame,Execution,0
30,Half Oval Frame,S01E01,A WALK IN THE WOODS,0,Frame,Execution,0
31,Hills,S01E01,A WALK IN THE WOODS,0,Topography,Landscape,1
32,Lakes,S01E01,A WALK IN THE WOODS,0,Water,Landscape,1
33,Lake,S01E01,A WALK IN THE WOODS,0,Water,Landscape,1
34,Lighthouse,S01E01,A WALK IN THE WOODS,0,Human_built,Human,1
35,Mill,S01E01,A WALK IN THE WOODS,0,Human_built,Human,1
36,Moon,S01E01,A WALK IN THE WOODS,0,Sky,Landscape,0
37,Mountains,S01E01,A WALK IN THE WOODS,0,Topography,Landscape,1
